,id,nodes_num,edges_num,lifetime,start_time,end_time,cpu_data,ram_data,rom_data,bw_data
0,0,4,3,741.1902961138169,62.476103363279364,803.6663994770962,[10 27  2 11],[25  6 22 13],[23 10 25  7],[18 25 29]
1,1,14,13,117.18584632169741,57.4881286706841,174.67397499238152,[15  2 14  9 17 23 21 20 21  5 26 29  5  6],[17  8 19 14 21  9 10 12 12 18  2 21 30 16],[21  2 25 29  6  9 24 11  3 26 26 26 19  6],[20  3 10 23 26 14 17 17 29 13  3 14 17]
2,2,8,7,1235.4646316595129,17.208155435744658,1252.6727870952575,[30 24 27 18  8 15 21  2],[28 16 19 17 12  3 19 30],[20  4 29  3 25  5 28 13],[ 3 12 30  2 12  9  7]
3,3,7,6,292.2354692366826,71.32512444518906,363.56059368187164,[28  9 11  3 17 12 23],[27 11 15  8  6 11  8],[15 14 27 17  5  5 20],[16  6 16 13  4 25]
4,4,8,7,288.1516788582753,97.17878662217383,385.33046548044916,[28 22 12 14 27 16  8 10],[18 16 27 24 11  7 27  6],[15 16 22  3 14  5 18 19],[25  7 10 22  8 20 11]
5,5,5,4,747.0825192916644,31.74140588768013,778.8239251793445,[ 8 18 14  8 23],[15  3 27 12  5],[29  8 24 27 22],[19 19  7 16]
6,6,2,1,45.95500325319252,46.19622561075351,92.15122886394603,[18 22],[ 4 26],[5 9],[11]
7,7,10,9,212.50995820303243,78.11907741714217,290.6290356201746,[15 16 15  2 10 17 14 10 14 11],[20 20  2 16  6 29  7 16 19  6],[25 26 15 14 20 26 21  6 14 18],[27 22 18 29  4 10 17 24 16]
8,8,14,13,275.4367876878519,1.6765239970501966,277.1133116849021,[30  9 14 20 30  4 28  2 17 23 28 30  5 16],[13 29 17 23  6 17  8 21 14 20  4  9 20  2],[22  9 11 17  5 20 23 29  3 17  3 28 19  6],[ 6 29  2 23 17 23 19 14 23  3  2 15  7]
9,9,8,7,1914.2188786608294,74.77244784141499,1988.9913265022444,[15  3  8  4  7 27 26  6],[ 3  7 14  7 30 15 25 23],[11  4 13 10  3  3 16 28],[17 28 28 30 16  7  8]
10,10,4,3,95.21174027105288,25.460094934151826,120.6718352052047,[22  7 16  3],[ 9 23 22 17],[ 4 29 26 21],[ 8 18 19]
11,11,12,11,261.0676748896769,72.15769040212354,333.2253652918004,[28 23 29 25 17  9  7  2 22 22 22 10],[14  9  3 26 25 10  6 19  5  7 26 19],[28 29 11 14 26 22 22  5 30  2 11 11],[ 4 17  2  4  3  7 24 28 21  9 30]
12,12,4,3,235.47049701664918,22.10194496511761,257.5724419817668,[19 16 25  6],[ 8 20 15  7],[10  4 29  8],[22  4  4]
13,13,4,3,5.763017211786988,44.13471046797676,49.89772767976375,[ 5 22 19 16],[19  2 22 26],[ 6 27 11 13],[23 28 15]
14,14,4,3,31.825391731393424,185.7453879334504,217.57077966484383,[16 10  5 14],[ 4  9 27  5],[ 6 19 22 13],[14  8 17]
15,15,7,6,125.30481295276657,142.61139590086756,267.91620885363415,[ 3 20 17 21 29 28 16],[25  2  2 18 25 29 16],[ 7 29 12 23 17 17 12],[25  3 30  7 27 10]
16,16,12,11,31.570365510970262,137.3437749029414,168.91414041391164,[ 4 17 24 26 19 18  8 24 16 22 15 19],[21  4  2  6  7  6 29  8 18 28 20 14],[19 26 17  7 20  2 30 12 10 16 14 17],[25  7 28 10 18 14 25 28 12  7  8]
17,17,10,9,673.7644092709943,134.663446279359,808.4278555503533,[ 3 18 19 25 27  5  2  8 13  9],[22 13 20 24 10  5 14  6  9 20],[15 15 11 20 26 23 14 21 18 15],[10 21 16 27 21 11 29  3 15]
18,18,14,13,287.6287342229823,198.55440640462567,486.18314062760794,[25 14  2 14 29 29  9 11 29 26 22 12 17 12],[14 22  3 27 28 25  9 24 21 13 24 23 24  3],[19 18 25 13 20  5 18 24 28 11 19 25 15 22],[ 2 24 11 18 29 29 23  3  3  6 27 22 16]
